Subject,Start Date,Start Time,End Date,End Time,All day event,Reminder on/off,Reminder Date,Reminder Time,Meeting Organizer,Required Attendees,Optional Attendees,Meeting Resources,Billing Information,Categories,Description,Location,Mileage,Priority,Private,Sensitivity,Show time as
Weekly Check In - Adam/Ann,5/15/2017,3:00:00 PM,5/15/2017,4:00:00 PM,FALSE,TRUE,5/15/2017,2:50:00 PM,Adam Sottosanti,Ann Crawford,,,,,"Hi there, 

Adam Sottosanti is inviting you to a scheduled Zoom meeting. 

Topic: Weekly Check In - Adam/Ann
Time: this is a recurring meeting 

Join from PC, Mac, Linux, iOS or Android: https://ucsb.zoom.us/j/433164305

Or iPhone one-tap (US Toll):  14086380968,433164305# or 16465588656,433164305#

Or Telephone:
    Dial: +1 408 638 0968 (US Toll) or +1 646 558 8656 (US Toll)
    Meeting ID: 433 164 305
    International numbers available: https://ucsb.zoom.us/zoomconference?m=S5ihkqAkUOvZlM5xNTypAbMo2WyW2grJ


Or a H.323/SIP room system:
    H.323: 162.255.37.11 (US West) or 162.255.36.11 (US East) 
    Meeting ID: 433 164 305

    SIP: 433164305@zoomcrc.com <mailto:433164305@zoomcrc.com> 


",https://ucsb.zoom.us/j/433164305,,Normal,FALSE,Normal,2
Weekly Check In - Adam/Ann,5/22/2017,3:00:00 PM,5/22/2017,4:00:00 PM,FALSE,TRUE,5/22/2017,2:50:00 PM,Adam Sottosanti,Ann Crawford,,,,,"Hi there, 

Adam Sottosanti is inviting you to a scheduled Zoom meeting. 

Topic: Weekly Check In - Adam/Ann
Time: this is a recurring meeting 

Join from PC, Mac, Linux, iOS or Android: https://ucsb.zoom.us/j/433164305

Or iPhone one-tap (US Toll):  14086380968,433164305# or 16465588656,433164305#

Or Telephone:
    Dial: +1 408 638 0968 (US Toll) or +1 646 558 8656 (US Toll)
    Meeting ID: 433 164 305
    International numbers available: https://ucsb.zoom.us/zoomconference?m=S5ihkqAkUOvZlM5xNTypAbMo2WyW2grJ


Or a H.323/SIP room system:
    H.323: 162.255.37.11 (US West) or 162.255.36.11 (US East) 
    Meeting ID: 433 164 305

    SIP: 433164305@zoomcrc.com <mailto:433164305@zoomcrc.com> 


",https://ucsb.zoom.us/j/433164305,,Normal,FALSE,Normal,2
Weekly Check In - Adam/Ann,5/29/2017,3:00:00 PM,5/29/2017,4:00:00 PM,FALSE,TRUE,5/29/2017,2:50:00 PM,Adam Sottosanti,Ann Crawford,,,,,"Hi there, 

Adam Sottosanti is inviting you to a scheduled Zoom meeting. 

Topic: Weekly Check In - Adam/Ann
Time: this is a recurring meeting 

Join from PC, Mac, Linux, iOS or Android: https://ucsb.zoom.us/j/433164305

Or iPhone one-tap (US Toll):  14086380968,433164305# or 16465588656,433164305#

Or Telephone:
    Dial: +1 408 638 0968 (US Toll) or +1 646 558 8656 (US Toll)
    Meeting ID: 433 164 305
    International numbers available: https://ucsb.zoom.us/zoomconference?m=S5ihkqAkUOvZlM5xNTypAbMo2WyW2grJ


Or a H.323/SIP room system:
    H.323: 162.255.37.11 (US West) or 162.255.36.11 (US East) 
    Meeting ID: 433 164 305

    SIP: 433164305@zoomcrc.com <mailto:433164305@zoomcrc.com> 


",https://ucsb.zoom.us/j/433164305,,Normal,FALSE,Normal,2
Weekly Check In - Adam/Ann,6/5/2017,3:00:00 PM,6/5/2017,4:00:00 PM,FALSE,TRUE,6/5/2017,2:50:00 PM,Adam Sottosanti,Ann Crawford,,,,,"Hi there, 

Adam Sottosanti is inviting you to a scheduled Zoom meeting. 

Topic: Weekly Check In - Adam/Ann
Time: this is a recurring meeting 

Join from PC, Mac, Linux, iOS or Android: https://ucsb.zoom.us/j/433164305

Or iPhone one-tap (US Toll):  14086380968,433164305# or 16465588656,433164305#

Or Telephone:
    Dial: +1 408 638 0968 (US Toll) or +1 646 558 8656 (US Toll)
    Meeting ID: 433 164 305
    International numbers available: https://ucsb.zoom.us/zoomconference?m=S5ihkqAkUOvZlM5xNTypAbMo2WyW2grJ


Or a H.323/SIP room system:
    H.323: 162.255.37.11 (US West) or 162.255.36.11 (US East) 
    Meeting ID: 433 164 305

    SIP: 433164305@zoomcrc.com <mailto:433164305@zoomcrc.com> 


",https://ucsb.zoom.us/j/433164305,,Normal,FALSE,Normal,2
Weekly Check In - Adam/Ann,6/12/2017,3:00:00 PM,6/12/2017,4:00:00 PM,FALSE,TRUE,6/12/2017,2:50:00 PM,Adam Sottosanti,Ann Crawford,,,,,"Hi there, 

Adam Sottosanti is inviting you to a scheduled Zoom meeting. 

Topic: Weekly Check In - Adam/Ann
Time: this is a recurring meeting 

Join from PC, Mac, Linux, iOS or Android: https://ucsb.zoom.us/j/433164305

Or iPhone one-tap (US Toll):  14086380968,433164305# or 16465588656,433164305#

Or Telephone:
    Dial: +1 408 638 0968 (US Toll) or +1 646 558 8656 (US Toll)
    Meeting ID: 433 164 305
    International numbers available: https://ucsb.zoom.us/zoomconference?m=S5ihkqAkUOvZlM5xNTypAbMo2WyW2grJ


Or a H.323/SIP room system:
    H.323: 162.255.37.11 (US West) or 162.255.36.11 (US East) 
    Meeting ID: 433 164 305

    SIP: 433164305@zoomcrc.com <mailto:433164305@zoomcrc.com> 


",https://ucsb.zoom.us/j/433164305,,Normal,FALSE,Normal,2
Weekly Check In - Adam/Ann,6/19/2017,3:00:00 PM,6/19/2017,4:00:00 PM,FALSE,TRUE,6/19/2017,2:50:00 PM,Adam Sottosanti,Ann Crawford,,,,,"Hi there, 

Adam Sottosanti is inviting you to a scheduled Zoom meeting. 

Topic: Weekly Check In - Adam/Ann
Time: this is a recurring meeting 

Join from PC, Mac, Linux, iOS or Android: https://ucsb.zoom.us/j/433164305

Or iPhone one-tap (US Toll):  14086380968,433164305# or 16465588656,433164305#

Or Telephone:
    Dial: +1 408 638 0968 (US Toll) or +1 646 558 8656 (US Toll)
    Meeting ID: 433 164 305
    International numbers available: https://ucsb.zoom.us/zoomconference?m=S5ihkqAkUOvZlM5xNTypAbMo2WyW2grJ


Or a H.323/SIP room system:
    H.323: 162.255.37.11 (US West) or 162.255.36.11 (US East) 
    Meeting ID: 433 164 305

    SIP: 433164305@zoomcrc.com <mailto:433164305@zoomcrc.com> 


",https://ucsb.zoom.us/j/433164305,,Normal,FALSE,Normal,2
Weekly Check In - Adam/Ann,6/26/2017,3:00:00 PM,6/26/2017,4:00:00 PM,FALSE,TRUE,6/26/2017,2:50:00 PM,Adam Sottosanti,Ann Crawford,,,,,"Hi there, 

Adam Sottosanti is inviting you to a scheduled Zoom meeting. 

Topic: Weekly Check In - Adam/Ann
Time: this is a recurring meeting 

Join from PC, Mac, Linux, iOS or Android: https://ucsb.zoom.us/j/433164305

Or iPhone one-tap (US Toll):  14086380968,433164305# or 16465588656,433164305#

Or Telephone:
    Dial: +1 408 638 0968 (US Toll) or +1 646 558 8656 (US Toll)
    Meeting ID: 433 164 305
    International numbers available: https://ucsb.zoom.us/zoomconference?m=S5ihkqAkUOvZlM5xNTypAbMo2WyW2grJ


Or a H.323/SIP room system:
    H.323: 162.255.37.11 (US West) or 162.255.36.11 (US East) 
    Meeting ID: 433 164 305

    SIP: 433164305@zoomcrc.com <mailto:433164305@zoomcrc.com> 


",https://ucsb.zoom.us/j/433164305,,Normal,FALSE,Normal,2
SQL Job Responsibilities,3/1/2017,8:00:00 AM,3/1/2017,8:00:00 AM,FALSE,TRUE,3/1/2017,8:00:00 AM,Adam Sottosanti,SIST-DB,,,,,"Primary Responsibility for Investigating SQL related job errors is as follows: 

Jan:  	Adam
Feb: 	Kam
Mar:  	Ann
Apr:  	Adam
May:  	Kam
Jun:  	Ann
Jul:  	Adam
Aug:  	Kam
Sep:  	Ann
Oct:  	Adam
Nov:  	Kam
Dec:  	Ann


",,,Normal,FALSE,Normal,3
SQL Job Responsibilities,4/3/2017,8:00:00 AM,4/3/2017,8:00:00 AM,FALSE,TRUE,4/3/2017,8:00:00 AM,Adam Sottosanti,SIST-DB,,,,,"Primary Responsibility for Investigating SQL related job errors is as follows: 

Jan:  	Adam
Feb: 	Kam
Mar:  	Ann
Apr:  	Adam
May:  	Kam
Jun:  	Ann
Jul:  	Adam
Aug:  	Kam
Sep:  	Ann
Oct:  	Adam
Nov:  	Kam
Dec:  	Ann


",,,Normal,FALSE,Normal,3
SQL Job Responsibilities,5/1/2017,8:00:00 AM,5/1/2017,8:00:00 AM,FALSE,TRUE,5/1/2017,8:00:00 AM,Adam Sottosanti,SIST-DB,,,,,"Primary Responsibility for Investigating SQL related job errors is as follows: 

Jan:  	Adam
Feb: 	Kam
Mar:  	Ann
Apr:  	Adam
May:  	Kam
Jun:  	Ann
Jul:  	Adam
Aug:  	Kam
Sep:  	Ann
Oct:  	Adam
Nov:  	Kam
Dec:  	Ann


",,,Normal,FALSE,Normal,3
SQL Job Responsibilities,6/1/2017,8:00:00 AM,6/1/2017,8:00:00 AM,FALSE,TRUE,6/1/2017,8:00:00 AM,Adam Sottosanti,SIST-DB,,,,,"Primary Responsibility for Investigating SQL related job errors is as follows: 

Jan:  	Adam
Feb: 	Kam
Mar:  	Ann
Apr:  	Adam
May:  	Kam
Jun:  	Ann
Jul:  	Adam
Aug:  	Kam
Sep:  	Ann
Oct:  	Adam
Nov:  	Kam
Dec:  	Ann


",,,Normal,FALSE,Normal,3
Canceled: Developer Collaboration Meeting,3/9/2017,3:00:00 PM,3/9/2017,4:00:00 PM,FALSE,TRUE,3/9/2017,2:45:00 PM,Logan D Franken,Adam Sottosanti;Amarpreet Singh;Ann Crawford;Aurelian Marian;Curran Sullivan;Diana Antova;Eric Mayes;Farah Tahmasbi;James Kinneavy;Jarrod Sprague;Jeff Pignataro;Joe Sabado;Joshua Andersen;Joshua Munsch;Justin Mead;Kam Kunimoto;Liudmil Petrov;Louis Tourtellotte;Michael Kerner;Nikhil Singh;Richard Wilson;Sean McGowan;Seth Northrop;Stefan Chankov;Stephen Barnhouse;Steve Bishop;Steven Maglio;Thomas Hoinacki;Ventzislav Tzvetkov;Shen Liu,,,,,"

-+-----+-----+-----+-----+-----+-----+-----+-----+-


Logan D Franken has invited you to attend an online meeting using Microsoft® Office Communications Server.
Join the meeting <meet:sip:logan.franken@sa.ucsb.edu;gruu;opaque=app:conf:focus:id:eb1f65f99a734ee383315258f78e99ed%3Fconf-key=ljjAZ14AO0H> 

Make sure the Office Live Meeting client is installed before the meeting:
*	I am connecting from inside the University of California Santa Barbara network <http://r.office.microsoft.com/r/rlidOCSR2?clid=1033&p1=livemeeting> 
*	I am connecting from outside the University of California Santa Barbara network <http://r.office.microsoft.com/r/rlidOCSR2?clid=1033&p1=livemeeting> 
	TROUBLESHOOTING 
	Unable to join the meeting?  Start Office Live Meeting and join the meeting with the following information:
		Meeting ID:	eb1f65f99a734ee383315258f78e99ed
		Entry Code:	ljjAZ14AO0H
		Location:	meet:sip:logan.franken@sa.ucsb.edu;gruu;opaque=app:conf:focus:id:eb1f65f99a734ee383315258f78e99ed%3Fconf-key=ljjAZ14AO0H

	If you still cannot enter the meeting, contact support:
*	Inside the University of California Santa Barbara network <http://r.office.microsoft.com/r/rlidLiveMeeting?p1=12&p2=en_us&p3=LMInfo&p4=supportserver> 
*	Outside the University of California Santa Barbara network <http://r.office.microsoft.com/r/rlidLiveMeeting?p1=12&p2=en_us&p3=LMInfo&p4=supportserver> 
NOTICE 
Office Live Meeting can be used to record meetings. By participating in this meeting, you agree that your communications may be monitored or recorded at any time during the meeting.




",SIST.Conference Room.SAASB.2201A,,High,FALSE,Normal,3
Canceled: Developer Collaboration Meeting,3/23/2017,3:00:00 PM,3/23/2017,4:00:00 PM,FALSE,TRUE,3/23/2017,2:45:00 PM,Logan D Franken,Adam Sottosanti;Amarpreet Singh;Ann Crawford;Aurelian Marian;Curran Sullivan;Diana Antova;Eric Mayes;Farah Tahmasbi;James Kinneavy;Jarrod Sprague;Jeff Pignataro;Joe Sabado;Joshua Andersen;Joshua Munsch;Justin Mead;Kam Kunimoto;Liudmil Petrov;Louis Tourtellotte;Michael Kerner;Nikhil Singh;Richard Wilson;Sean McGowan;Seth Northrop;Stefan Chankov;Stephen Barnhouse;Steve Bishop;Steven Maglio;Thomas Hoinacki;Ventzislav Tzvetkov;Shen Liu,,,,,"

-+-----+-----+-----+-----+-----+-----+-----+-----+-


Logan D Franken has invited you to attend an online meeting using Microsoft® Office Communications Server.
Join the meeting <meet:sip:logan.franken@sa.ucsb.edu;gruu;opaque=app:conf:focus:id:eb1f65f99a734ee383315258f78e99ed%3Fconf-key=ljjAZ14AO0H> 

Make sure the Office Live Meeting client is installed before the meeting:
*	I am connecting from inside the University of California Santa Barbara network <http://r.office.microsoft.com/r/rlidOCSR2?clid=1033&p1=livemeeting> 
*	I am connecting from outside the University of California Santa Barbara network <http://r.office.microsoft.com/r/rlidOCSR2?clid=1033&p1=livemeeting> 
	TROUBLESHOOTING 
	Unable to join the meeting?  Start Office Live Meeting and join the meeting with the following information:
		Meeting ID:	eb1f65f99a734ee383315258f78e99ed
		Entry Code:	ljjAZ14AO0H
		Location:	meet:sip:logan.franken@sa.ucsb.edu;gruu;opaque=app:conf:focus:id:eb1f65f99a734ee383315258f78e99ed%3Fconf-key=ljjAZ14AO0H

	If you still cannot enter the meeting, contact support:
*	Inside the University of California Santa Barbara network <http://r.office.microsoft.com/r/rlidLiveMeeting?p1=12&p2=en_us&p3=LMInfo&p4=supportserver> 
*	Outside the University of California Santa Barbara network <http://r.office.microsoft.com/r/rlidLiveMeeting?p1=12&p2=en_us&p3=LMInfo&p4=supportserver> 
NOTICE 
Office Live Meeting can be used to record meetings. By participating in this meeting, you agree that your communications may be monitored or recorded at any time during the meeting.




",SIST.Conference Room.SAASB.2201A,,High,FALSE,Normal,3
